Reference ID,Voting Date,Topic Number,Topic Title,Meaning of Yes,Meaning of No,Voting Subject,Proposal Title,Council Decision,Number of Yes,Number of No,Number of Abstentions,Number of excused,Number of non-participation,Percent_Yes
28659,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Annahme der Vorlage | * | *,Ablehnung der Vorlage | * | *,Gesamtabstimmung | * | *,Bundesgesetz über die Eidgenössischen Technischen Hochschulen (ETH-Gesetz),1,145,48,3,3,0,0.7397959183673469
28789,27.05.2024,20210504,Bei häuslicher Gewalt die Härtefallpraxis nach Artikel 50 AIG garantieren,Antrag der Mehrheit | * | *,Antrag der Minderheit Steinemann (gemäss SR) | * | *,Art. 50 Abs. 2 Bst. a Ziff. 2 | * | *,Bundesgesetz über die Ausländerinnen und Ausländer und über die Integration (Ausländer- und Integrationsgesetz) (Bei häuslicher Gewalt die Härtefallpraxis nach Art. 50 AIG garantieren),1,126,62,0,3,8,0.6702127659574468
28790,27.05.2024,20210504,Bei häuslicher Gewalt die Härtefallpraxis nach Artikel 50 AIG garantieren,Antrag der Mehrheit (gemäss SR und BR) | * | *,Antrag der Minderheit Schläfli (festhaten) | * | *,Art. 50 Abs. 2bis | * | *,Bundesgesetz über die Ausländerinnen und Ausländer und über die Integration (Ausländer- und Integrationsgesetz) (Bei häuslicher Gewalt die Härtefallpraxis nach Art. 50 AIG garantieren),1,127,62,1,3,6,0.6684210526315789
28792,27.05.2024,20230057,ZGB. Änderung (Massnahmen gegen Minderjährigenheiraten),Antrag der Mehrheit | * | *,Antrag der Minderheit von Falkenstein (gemäss SR) | * | *,Art. 105a (gilt auch für Art. 9a Abs. 2 Partnerschaftsgesetz) | * | *,Schweizerisches Zivilgesetzbuch (Massnahmen gegen Minderjährigenheiraten),1,122,65,1,3,8,0.648936170212766
28793,27.05.2024,20230057,ZGB. Änderung (Massnahmen gegen Minderjährigenheiraten),Annahme der Vorlage | * | *,Ablehnung der Vorlage | * | *,Gesamtabstimmung | * | *,Schweizerisches Zivilgesetzbuch (Massnahmen gegen Minderjährigenheiraten),1,191,0,0,3,5,1.0
28794,27.05.2024,20233838,Migrationspartnerschaften. Eine strategische Neuausrichtung ist notwendig,Antrag der Mehrheit (Annahme der geänderten Motion) | * | *,Antrag der Minderheit Klopfenstein Broggini (Ablehnung der Motion) | * | *,* | * | *,*,1,131,61,1,3,3,0.6787564766839378
28795,27.05.2024,20234241,Korrektur der Praxisänderung in Bezug auf Asylgesuche von Afghaninnen,Antrag der Mehrheit und des Bundesrates (Ablehnung der Motion) | * | *,Antrag der Minderheit Schilliger (Annahme der Motion) | * | *,* | * | *,*,1,92,91,10,4,2,0.47668393782383417
28796,27.05.2024,20243008,Schutz von Afghaninnen. Einzelfallprüfung und Sicherheitsüberprüfung,Antrag der Kommission (Annahme der Bst. a) | * | *,Antrag des Bundesrates (Ablehnung der Bst. a) | * | *,Buchstabe a | * | *,*,1,130,62,0,4,3,0.6770833333333334
28797,27.05.2024,20243008,Schutz von Afghaninnen. Einzelfallprüfung und Sicherheitsüberprüfung,Antrag der Kommission (Annahme der Bst. c) | * | *,Antrag des Bundesrates Ablehnung der Bst. c) | * | *,Buchstabe c | * | *,*,1,131,62,0,4,2,0.6787564766839378
28798,27.05.2024,20210511,"Gleichstellung von Witwen und Witwern, sobald das letzte Kind die Volljährigkeit erreicht",Antrag der Mehrheit (Folge geben) | * | *,Antrag der Minderheit Gutjahr (keine Folge gegeben) | * | *,* | * | *,*,1,98,93,0,4,4,0.5130890052356021
